month_year,bu_id,pnl_account_name,amount
2023-01,4,Net Revenue,10621.626624700313
2023-01,4,Office Supplies,-241.92898459204577
2023-01,4,R&D,-5943.790875728349
2023-01,4,Rent,-2546.1514580284306
2023-01,4,Salaries,-7437.930208218837
2023-01,4,Sales Commissions,-552.6304043699864
2023-01,4,Sales Returns,-219.90251749823918
2023-01,4,Taxes,-583.7390385337297
2023-01,5,Direct Labor,-1740.5099859516502
2023-01,5,Direct Materials,-446.7621622939295
2023-01,5,Gross Revenue,5900.250351866184
2023-01,5,Interest,-51.37170043148981
2023-01,5,Marketing,-1027.7791972238454
2023-01,5,Net Revenue,16045.179417144873
2023-01,5,Office Supplies,-828.0933601646224
2023-01,5,Rent,-2844.082909491558
2023-01,5,Salaries,-10802.317619037063
2023-01,5,Sales Commissions,-636.1172075177064
2023-01,5,Sales Returns,-418.23450709014685
2023-01,5,Taxes,-345.70650731046135
2023-01,5,Travel & Entertainment,-89.81017545344112
2023-01,5,Utilities,-824.9774623324095
2023-01,6,Amortization,-46.13193012522021
2023-01,6,Depreciation,-101.44348816407997
2023-01,6,Direct Labor,-1265.5199006644318
2023-01,6,Direct Materials,-1246.1774126573048
2023-01,6,Gross Revenue,10062.753075435832
2023-01,6,Interest,-107.00541025118605
2023-01,6,Marketing,-715.3333098953821
2023-01,6,Net Revenue,12445.766259355498
2023-01,6,Rent,-3075.182270378742
2023-01,6,Salaries,-1871.2769695144352
2023-01,6,Sales Commissions,-1832.530811848691
2023-01,6,Sales Returns,-292.4422166693313
2023-01,6,Taxes,-435.37046186385663
2023-01,6,Travel & Entertainment,-444.2017211772383
2023-01,6,Utilities,-923.7362976110201
2023-01,7,Depreciation,-349.56474241792046
2023-01,7,Direct Labor,-1430.718751330445
2023-01,7,Direct Materials,-1647.4810249978163
2023-01,7,Gross Revenue,2868.570255861918
2023-01,7,Interest,-15.99389444542133
2023-01,7,Manufacturing Overhead,-242.15705012678066
2023-01,7,Marketing,-379.1967802490653
2023-01,7,Net Revenue,7891.0892248442815
2023-01,7,Rent,-2721.2291268428125
2023-01,7,Salaries,-2974.981151857245
2023-01,7,Sales Returns,-180.5736619134143
2023-01,7,Taxes,-344.2080711199534
2023-01,7,Travel & Entertainment,-357.55122860155154
2023-01,7,Utilities,-511.6187653692415
2023-01,8,Depreciation,-117.92116980357805
2023-01,8,Direct Labor,-1027.2810866200657
2023-01,8,Direct Materials,-891.1080179156488
2023-01,8,Gross Revenue,7489.774579791196
2023-01,8,Interest,-75.17853334153459
2023-01,8,Manufacturing Overhead,-296.60261193148636
2023-01,8,Net Revenue,19884.2917514904
2023-01,8,Office Supplies,-111.16763131572387
2023-01,8,Rent,-3322.662716063773
2023-01,8,Salaries,-10481.023653015
2023-01,8,Sales Commissions,-1118.7285157663182
2023-01,8,Sales Returns,-707.9412490117637
2023-01,8,Taxes,-616.6957188432121
2023-01,8,Travel & Entertainment,-740.1989683882541
2023-02,1,Direct Labor,-2796.6542829990044
2023-02,1,Direct Materials,-3070.650651586088
2023-02,1,Gross Revenue,1573.3052376858186
2023-02,1,Interest,-87.60200149367803
2023-02,1,Manufacturing Overhead,-127.62458661933819
2023-02,1,Marketing,-1051.8382284531665
2023-02,1,Net Revenue,8135.777700772291
2023-02,1,Office Supplies,-369.76091664520277
2023-02,1,Rent,-1941.131788956659
2023-02,1,Salaries,-10061.775929909867
2023-02,1,Sales Commissions,-619.7759662763572
2023-02,1,Sales Returns,-131.29404687336248
2023-02,1,Taxes,-1446.7499580483754
2023-02,1,Travel & Entertainment,-413.72285707292116
2023-02,1,Utilities,-705.6396217600463
2023-02,2,Direct Labor,-1002.7618232243004
2023-02,2,Direct Materials,-2665.0555037880476
2023-02,2,Gross Revenue,3923.6950128190406
2023-02,2,Interest,-85.20506220196543
2023-02,2,Manufacturing Overhead,-256.88435444542483
2023-02,2,Marketing,-1318.584470306568
2023-02,2,Net Revenue,16033.89431448482
2023-02,2,Office Supplies,-333.1562175016132
2023-02,2,R&D,-5968.793862645214
2023-02,2,Rent,-4609.020938171886
2023-02,2,Salaries,-14491.016060682674
2023-02,2,Sales Returns,-393.4178099907724
2023-02,2,Taxes,-382.20778656812524
2023-02,2,Travel & Entertainment,-409.271201728056
2023-02,2,Utilities,-264.7239296770479
2023-02,3,Amortization,-199.7069366679263
2023-02,3,Depreciation,-359.39963958257323
2023-02,3,Direct Labor,-517.1976271668082
2023-02,3,Direct Materials,-522.9153456989092
2023-02,3,Gross Revenue,4434.53850596099
2023-02,3,Interest,-127.19971450118828
2023-02,3,Manufacturing Overhead,-568.6380813334662
2023-02,3,Marketing,-696.5095752663615
2023-02,3,Net Revenue,6897.28190951934
2023-02,3,Office Supplies,-346.6879628068859
2023-02,3,Rent,-3217.9381025918315
2023-02,3,Salaries,-5186.59845428071
2023-02,3,Sales Returns,-392.19674926351576
2023-02,3,Taxes,-911.48423045762
2023-02,3,Travel & Entertainment,-160.301716132265
2023-02,3,Utilities,-445.3782225841398
2023-02,4,Amortization,-89.01947092174086
2023-02,4,Direct Labor,-648.2477558976773
2023-02,4,Direct Materials,-692.4739919716368
2023-02,4,Interest,-57.406503834244376
2023-02,4,Manufacturing Overhead,-521.0319838262304
2023-02,4,Marketing,-213.31037472855496
2023-02,4,Net Revenue,4262.569735143669
2023-02,4,Office Supplies,-360.45749959056064
2023-02,4,R&D,-3950.253454552183
2023-02,4,Rent,-2123.2809615039823
2023-02,4,Salaries,-14800.026887851402
2023-02,4,Sales Commissions,-590.413794632122
2023-02,4,Sales Returns,-305.8731815488719
2023-02,4,Taxes,-448.2038469929819
2023-02,4,Travel & Entertainment,-710.2023012969256
2023-02,4,Utilities,-826.9998155728954
2023-02,5,Amortization,-97.69734113508441
2023-02,5,Direct Labor,-2057.6585551827034
2023-02,5,Direct Materials,-2090.6709608314573
2023-02,5,Gross Revenue,20244.250626723933
2023-02,5,Interest,-142.1328560268055
2023-02,5,Manufacturing Overhead,-276.18391854663446
2023-02,5,Marketing,-1361.9432559305628
2023-02,5,Net Revenue,29581.641687808613
2023-02,5,Office Supplies,-432.21391473842516
2023-02,5,Salaries,-39734.24841491882
2023-02,5,Sales Commissions,-746.4680130574577
2023-02,5,Sales Returns,-241.00907455940154
2023-02,5,Taxes,-1227.5528713505828
2023-02,5,Travel & Entertainment,-350.4184386476862
2023-02,6,Amortization,-46.95636721856725
2023-02,6,Gross Revenue,1030.0965496208096
2023-02,6,Interest,-96.74956355696027
2023-02,6,Manufacturing Overhead,-639.7534681026531
2023-02,6,Marketing,-689.987011512648
2023-02,6,Net Revenue,5754.3994064924445
2023-02,6,Office Supplies,-142.36503642907655
2023-02,6,Salaries,-28906.131534914322
2023-02,6,Sales Commissions,-440.95306908906457
2023-02,6,Taxes,-672.8868358810986
2023-02,6,Travel & Entertainment,-567.2685857974615
2023-02,6,Utilities,-461.3469805930365
2023-02,7,Amortization,-37.59593640453305
2023-02,7,Direct Labor,-1139.3925870245853
2023-02,7,Direct Materials,-777.5452028771208
2023-02,7,Gross Revenue,2765.2347811781738
2023-02,7,Marketing,-258.3129097946966
2023-02,7,Net Revenue,3513.51622133804
2023-02,7,Office Supplies,-134.4150158527578
2023-02,7,Rent,-3280.966294657003
2023-02,7,Salaries,-3347.602730827805
2023-02,7,Sales Commissions,-887.9031930340075
2023-02,7,Sales Returns,-289.19928854825184
2023-02,7,Taxes,-1364.232778252137
2023-02,7,Travel & Entertainment,-411.9946984351686
2023-02,7,Utilities,-199.53048531948556
2023-02,8,Depreciation,-86.2728045880069
2023-02,8,Direct Materials,-876.6748271156939
2023-02,8,Gross Revenue,5098.6905153740445
2023-02,8,Interest,-47.55591017667225
2023-02,8,Manufacturing Overhead,-253.55570111570495
2023-02,8,Marketing,-648.178008323122
2023-02,8,Net Revenue,14229.838234239272
2023-02,8,Office Supplies,-346.5724809611235
2023-02,8,Rent,-2949.117440518458
2023-02,8,Salaries,-12444.496221725156
2023-02,8,Sales Commissions,-416.71399475583047
2023-02,8,Sales Returns,-231.63024186172274
2023-02,8,Taxes,-1961.5960526320903
2023-02,8,Travel & Entertainment,-326.40927319360867
2023-02,8,Utilities,-336.1723907156463
2023-03,1,Direct Labor,-2386.957327646166
2023-03,1,Direct Materials,-1576.1241252402194
2023-03,1,Gross Revenue,7916.6905398104955
2023-03,1,Interest,-86.82331802009118
2023-03,1,Manufacturing Overhead,-834.6618000995875
2023-03,1,Marketing,-1094.6603604619759
2023-03,1,Net Revenue,15334.51451788569
2023-03,1,Rent,-1018.5652021564022
2023-03,1,Salaries,-5826.818437320474
2023-03,1,Sales Commissions,-223.5872587754427
2023-03,1,Sales Returns,-145.43898260482638
2023-03,1,Taxes,-517.0141499250772
2023-03,1,Utilities,-435.43055443041624
2023-03,2,Depreciation,-186.58634740994557
2023-03,2,Direct Labor,-1498.5670483309837
2023-03,2,Direct Materials,-252.46475833719018
2023-03,2,Interest,-159.21588121114422
2023-03,2,Manufacturing Overhead,-164.55058163378777
2023-03,2,Marketing,-536.9993663293874
2023-03,2,Net Revenue,12790.06853768588
2023-03,2,Office Supplies,-309.79199590880125
2023-03,2,Rent,-499.71241486422014
2023-03,2,Salaries,-29886.67292991932
2023-03,2,Sales Commissions,-1475.4388870762175
2023-03,2,Sales Returns,-361.0202661492431
2023-03,2,Taxes,-1372.6529780471942
2023-03,2,Travel & Entertainment,-428.47446960766575
2023-03,2,Utilities,-426.79153433947914
2023-03,3,Amortization,-57.44154724957009
2023-03,3,Depreciation,-401.24921924783564
2023-03,3,Direct Labor,-2748.606700487106
2023-03,3,Direct Materials,-1298.8921075033516
2023-03,3,Interest,-59.271620884835855
2023-03,3,Manufacturing Overhead,-724.9303043948203
2023-03,3,Marketing,-156.29260153454325
2023-03,3,Net Revenue,18480.222362268974
2023-03,3,Office Supplies,-139.35383897683013
2023-03,3,Rent,-1112.4589379659242
2023-03,3,Salaries,-15301.64275922079
2023-03,3,Sales Commissions,-1119.181500825507
2023-03,3,Taxes,-281.26419285613014
2023-03,3,Utilities,-399.46469262791135
2023-03,4,Depreciation,-211.61998040349283
2023-03,4,Direct Labor,-4616.6034335748545
2023-03,4,Direct Materials,-1043.8557249984253
2023-03,4,Gross Revenue,13871.818347602552
2023-03,4,Interest,-113.14211481217838
2023-03,4,Marketing,-275.16235044662704
2023-03,4,Net Revenue,18829.812194377322
2023-03,4,Office Supplies,-518.668513982563
2023-03,4,R&D,-3351.00905529194
2023-03,4,Rent,-2405.1219648553533
2023-03,4,Salaries,-15675.303988630854
2023-03,4,Sales Commissions,-1342.8217001195007
2023-03,4,Sales Returns,-313.93780439320557
2023-03,4,Taxes,-243.78696307964887
2023-03,4,Travel & Entertainment,-562.062732677643
2023-03,4,Utilities,-242.39124851408124
2023-03,5,Direct Labor,-1795.3725106939055
2023-03,5,Direct Materials,-2414.8057526346415
2023-03,5,Gross Revenue,11867.654737872372
2023-03,5,Interest,-146.4422135043551
2023-03,5,Manufacturing Overhead,-906.3028518672501
2023-03,5,Marketing,-420.45215649091244
2023-03,5,Net Revenue,19014.678291783257
2023-03,5,Office Supplies,-408.1087157032718
2023-03,5,Rent,-1740.226421519915
2023-03,5,Salaries,-30120.254752841392
2023-03,5,Sales Commissions,-612.0160344965233
2023-03,5,Sales Returns,-682.842901183597
2023-03,5,Taxes,-1182.9901626911198
2023-03,5,Travel & Entertainment,-602.8956852080141
2023-03,5,Utilities,-1142.5764090282933
2023-03,6,Depreciation,-126.9630693360143
2023-03,6,Direct Materials,-1730.8380815378562
2023-03,6,Gross Revenue,9398.46493110891
2023-03,6,Interest,-38.25205524123727
2023-03,6,Manufacturing Overhead,-735.5131463751494
2023-03,6,Marketing,-1848.390116989216
2023-03,6,Net Revenue,13181.118890087955
2023-03,6,Office Supplies,-55.66639707618363
2023-03,6,Salaries,-16457.638908249042
2023-03,6,Sales Returns,-484.42477625981485
2023-03,6,Taxes,-430.56580507679837
2023-03,6,Travel & Entertainment,-257.7335203570057
2023-03,6,Utilities,-137.6448358876548
2023-03,7,Amortization,-87.75001281180886
2023-03,7,Direct Labor,-715.8287703203915
2023-03,7,Direct Materials,-1897.299895652855
2023-03,7,Gross Revenue,7020.110541089282
2023-03,7,Interest,-208.1230679531356
2023-03,7,Manufacturing Overhead,-146.54034444445173
2023-03,7,Marketing,-909.3815944883675
2023-03,7,Net Revenue,12116.304049276489
2023-03,7,Office Supplies,-746.7531952663865
2023-03,7,Rent,-3408.097244588923
2023-03,7,Salaries,-20545.155155840937
2023-03,7,Sales Commissions,-221.38301058033488
2023-03,7,Sales Returns,-130.90019521081484
2023-03,7,Taxes,-228.69612555640717
2023-03,7,Travel & Entertainment,-287.396278287176
2023-03,7,Utilities,-943.5058135154236
2023-03,8,Amortization,-120.2721655476712
2023-03,8,Depreciation,-177.9463518789404
2023-03,8,Direct Labor,-516.3244134618217
2023-03,8,Direct Materials,-1365.4580336769097
2023-03,8,Gross Revenue,1407.3015739275957
2023-03,8,Interest,-66.79323172479648
2023-03,8,Marketing,-1438.4844802420325
2023-03,8,Net Revenue,3108.878612572002
2023-03,8,Office Supplies,-334.2289051545672
2023-03,8,Rent,-930.6479968050282
2023-03,8,Salaries,-7455.914006258359
2023-03,8,Sales Commissions,-462.5880287527851
2023-03,8,Sales Returns,-416.12153852864947
2023-03,8,Taxes,-1219.019092450907
2023-03,8,Travel & Entertainment,-403.4555968907895
2023-03,8,Utilities,-388.76802205107697
2023-04,1,Direct Labor,-638.1081869987097
2023-04,1,Direct Materials,-4847.6722982226875
2023-04,1,Gross Revenue,10793.376242383973
2023-04,1,Interest,-186.47739798801013
2023-04,1,Marketing,-967.2562284253223
2023-04,1,Net Revenue,13094.229582416043
2023-04,1,Office Supplies,-57.84725356216341
2023-04,1,Rent,-3497.1168253829587
2023-04,1,Salaries,-13987.351269281755
2023-04,1,Sales Commissions,-462.08729493078346
2023-04,1,Sales Returns,-226.96960444036907
2023-04,1,Taxes,-1521.2764916106937
2023-04,1,Travel & Entertainment,-598.8392467912595
2023-04,2,Amortization,-47.65909282986005
2023-04,2,Depreciation,-200.41654139909113
2023-04,2,Direct Labor,-689.3968168127317
2023-04,2,Direct Materials,-222.76393832312928
2023-04,2,Gross Revenue,15135.76550798567
2023-04,2,Interest,-167.0568466822572
2023-04,2,Marketing,-1523.950035348237
2023-04,2,Net Revenue,19249.45141785185
2023-04,2,Office Supplies,-196.6772163946023
2023-04,2,Rent,-914.0877186824987
2023-04,2,Salaries,-29674.35865116399
2023-04,2,Sales Commissions,-187.79245107610714
2023-04,2,Taxes,-212.88153511780735
2023-04,2,Travel & Entertainment,-287.19724801076967
2023-04,2,Utilities,-835.8843027134835
2023-04,3,Direct Labor,-935.2914446847064
2023-04,3,Direct Materials,-1386.990437430912
2023-04,3,Gross Revenue,8215.434559254238
2023-04,3,Interest,-50.80864845047777
2023-04,3,Manufacturing Overhead,-180.29376056124732
2023-04,3,Marketing,-1670.8980284414822
2023-04,3,Net Revenue,11424.263716261836
2023-04,3,Office Supplies,-412.95742430225533
2023-04,3,R&D,-2758.773671371603
2023-04,3,Salaries,-28618.53321325065
2023-04,3,Sales Commissions,-528.2097528065511
2023-04,3,Sales Returns,-191.8682923808907
2023-04,3,Taxes,-765.5355013130009
2023-04,3,Travel & Entertainment,-162.4880263385223
2023-04,3,Utilities,-597.6951269740567
2023-04,4,Amortization,-100.09245272824649
2023-04,4,Direct Labor,-802.1253746835592
2023-04,4,Direct Materials,-233.70271466624425
2023-04,4,Gross Revenue,9940.869909726758
2023-04,4,Interest,-46.196114440036425
2023-04,4,Manufacturing Overhead,-518.3833228713944
2023-04,4,Marketing,-668.9178527487379
2023-04,4,Net Revenue,16346.306906742402
2023-04,4,Office Supplies,-591.4259707547112
2023-04,4,R&D,-4818.009102462653
2023-04,4,Rent,-2664.2899046276225
2023-04,4,Salaries,-4584.70428419251
2023-04,4,Sales Returns,-707.62539868262
2023-04,4,Taxes,-570.517486182064
2023-04,4,Travel & Entertainment,-550.2588088267786
2023-04,4,Utilities,-707.3525250451427
2023-04,5,Depreciation,-117.56247837605022
2023-04,5,Direct Labor,-563.6966702031388
2023-04,5,Direct Materials,-2255.7431343805088
2023-04,5,Gross Revenue,20465.905107109968
2023-04,5,Interest,-191.56087929354368
2023-04,5,Manufacturing Overhead,-220.49051971429233
2023-04,5,Net Revenue,21174.549707169164
2023-04,5,Office Supplies,-364.40490700689674
2023-04,5,R&D,-2711.8730978440485
2023-04,5,Rent,-1022.1404162078668
2023-04,5,Salaries,-21947.775050302153
2023-04,5,Sales Commissions,-1619.8833649164053
2023-04,5,Sales Returns,-608.6401192648693
2023-04,5,Travel & Entertainment,-645.1286127188488
2023-04,5,Utilities,-632.8065539528569
2023-04,6,Amortization,-92.8846909754053
2023-04,6,Depreciation,-227.02838205069477
2023-04,6,Direct Labor,-1588.300875069005
2023-04,6,Direct Materials,-1980.743271679648
2023-04,6,Gross Revenue,2319.1560170807375
2023-04,6,Interest,-84.72830344680044
2023-04,6,Manufacturing Overhead,-395.98842464969124
2023-04,6,Marketing,-173.92344465453968
2023-04,6,Net Revenue,5728.331248426253
2023-04,6,Office Supplies,-90.53762550956078
2023-04,6,R&D,-2905.0832277230325
2023-04,6,Rent,-3575.6039428542636
2023-04,6,Salaries,-12552.18518225812
2023-04,6,Sales Commissions,-535.4953387263323
2023-04,6,Sales Returns,-173.0647283699221
2023-04,6,Taxes,-376.85378991754186
2023-04,6,Travel & Entertainment,-987.6305447431329
2023-04,6,Utilities,-407.5949044286732
2023-04,7,Depreciation,-235.46403506113313
2023-04,7,Direct Labor,-1389.2420352881288
2023-04,7,Direct Materials,-966.0215080946182
2023-04,7,Gross Revenue,6823.858462156942
2023-04,7,Interest,-57.43076201183493
2023-04,7,Manufacturing Overhead,-564.0280990210994
2023-04,7,Net Revenue,13708.792111499006
2023-04,7,Office Supplies,-376.1924743235843
2023-04,7,R&D,-2570.2147040470536
2023-04,7,Rent,-2548.1925471985
2023-04,7,Salaries,-6270.744936155167
2023-04,7,Sales Returns,-725.0230726542692
2023-04,7,Taxes,-1318.3562141459101
2023-04,7,Travel & Entertainment,-470.85298467351384
2023-04,8,Depreciation,-171.2007795696434
2023-04,8,Direct Labor,-1830.244897221688
2023-04,8,Direct Materials,-2476.8285288879665
2023-04,8,Gross Revenue,3648.371348435534
2023-04,8,Interest,-31.809624208873277
2023-04,8,Manufacturing Overhead,-338.09853326218473
2023-04,8,Marketing,-1086.9642933886134
2023-04,8,Net Revenue,15306.509733928788
2023-04,8,Office Supplies,-98.66011850426248
2023-04,8,Rent,-4635.561094062442
2023-04,8,Salaries,-12755.821821031308
2023-04,8,Sales Returns,-680.952472316394
2023-04,8,Taxes,-919.3117940605628
2023-04,8,Travel & Entertainment,-962.2256991566603
2023-04,8,Utilities,-1753.7546394349954
2023-05,1,Direct Labor,-2919.32349633033
2023-05,1,Direct Materials,-492.95611274202236
2023-05,1,Gross Revenue,9654.142913010422
2023-05,1,Interest,-85.8313989927356
2023-05,1,Manufacturing Overhead,-277.31275686583047
2023-05,1,Marketing,-1323.436030833947
2023-05,1,Net Revenue,23839.67398611793
2023-05,1,Office Supplies,-374.98233770460524
2023-05,1,Rent,-4791.564643513609
2023-05,1,Salaries,-22404.203276672415
2023-05,1,Sales Commissions,-756.477721563423
2023-05,1,Sales Returns,-637.7217444883
2023-05,1,Taxes,-1241.4084669045913
2023-05,1,Travel & Entertainment,-1340.0447030770938
2023-05,1,Utilities,-280.27510660947706
2023-05,2,Amortization,-50.36792748100013
2023-05,2,Depreciation,-79.03554418362117
2023-05,2,Direct Labor,-3179.6041994010384
2023-05,2,Direct Materials,-844.3103060934693
2023-05,2,Gross Revenue,17346.524784115027
2023-05,2,Interest,-156.15048095389125
2023-05,2,Manufacturing Overhead,-781.6969068786276
2023-05,2,Marketing,-930.685641318251
2023-05,2,Net Revenue,22222.50634445775
2023-05,2,Office Supplies,-359.964253578293
2023-05,2,Salaries,-14229.157423080915
2023-05,2,Sales Commissions,-304.4598904817057
2023-05,2,Sales Returns,-295.88262703770596
2023-05,2,Taxes,-689.3262802911344
2023-05,2,Travel & Entertainment,-399.4619016781385
2023-05,2,Utilities,-113.25610232664538
2023-05,3,Amortization,-101.48436312247341
2023-05,3,Depreciation,-751.2415427910297
2023-05,3,Direct Labor,-807.372118929753
2023-05,3,Direct Materials,-1524.829717401191
2023-05,3,Gross Revenue,20500.302404613685
2023-05,3,Interest,-123.55244962844468
2023-05,3,Manufacturing Overhead,-606.2095419485872
2023-05,3,Marketing,-726.6653055310057
2023-05,3,Net Revenue,37290.85867343118
2023-05,3,R&D,-5255.975273843745
2023-05,3,Rent,-711.699463422483
2023-05,3,Salaries,-12172.148575476716
2023-05,3,Sales Commissions,-551.765807940457
2023-05,3,Taxes,-375.46085800857895
2023-05,3,Travel & Entertainment,-182.10250101690522
2023-05,4,Depreciation,-177.99771986476486
2023-05,4,Direct Labor,-231.08637226561453
2023-05,4,Direct Materials,-3608.507445021197
2023-05,4,Gross Revenue,7782.626548326058
2023-05,4,Interest,-86.83325306359053
2023-05,4,Manufacturing Overhead,-940.4113043093301
2023-05,4,Marketing,-417.6832540675731
2023-05,4,Net Revenue,12143.843535825015
2023-05,4,Office Supplies,-859.2416870665684
2023-05,4,Rent,-2458.747070779981
2023-05,4,Sales Commissions,-736.309818182003
2023-05,4,Sales Returns,-378.12078630631896
2023-05,4,Taxes,-378.1945734558974
2023-05,4,Travel & Entertainment,-80.94873768909417
2023-05,4,Utilities,-646.1242770385899
2023-05,5,Depreciation,-101.32533511732721
2023-05,5,Direct Labor,-568.1041911785737
2023-05,5,Gross Revenue,21131.410683329348
2023-05,5,Interest,-72.39476119837033
2023-05,5,Manufacturing Overhead,-57.218956075461186
2023-05,5,Marketing,-1233.3374624502837
2023-05,5,Net Revenue,25556.03877798367
2023-05,5,Office Supplies,-534.7323239993283
2023-05,5,R&D,-6007.01924328034
2023-05,5,Rent,-3650.423664307511
2023-05,5,Salaries,-28660.80905306049
2023-05,5,Sales Commissions,-390.1744790737788
2023-05,5,Sales Returns,-436.93369919020057
2023-05,5,Taxes,-1426.6666733934471
2023-05,5,Travel & Entertainment,-566.9929071906574
2023-05,5,Utilities,-1682.0426139465833
2023-05,6,Direct Labor,-1427.7345973593087
2023-05,6,Direct Materials,-3235.6504267049627
2023-05,6,Gross Revenue,4861.69603734908
2023-05,6,Interest,-43.532528625844364
2023-05,6,Manufacturing Overhead,-175.9536921930833
2023-05,6,Marketing,-1589.1315384610448
2023-05,6,Net Revenue,5831.457399486248
2023-05,6,Office Supplies,-689.1667636680861
2023-05,6,R&D,-7488.533287158134
2023-05,6,Rent,-6869.779688489984
2023-05,6,Salaries,-25418.928957455082
2023-05,6,Sales Commissions,-502.5546463615804
2023-05,6,Sales Returns,-113.13573063294562
2023-05,6,Taxes,-722.410048276693
2023-05,6,Travel & Entertainment,-237.6619880035055
2023-05,6,Utilities,-568.9384288865537
2023-05,7,Depreciation,-179.5511127554276
2023-05,7,Direct Labor,-1230.3452936972496
2023-05,7,Direct Materials,-1293.5006420876884
2023-05,7,Gross Revenue,4639.917865036226
2023-05,7,Interest,-88.80118119713374
2023-05,7,Manufacturing Overhead,-202.8887282039516
2023-05,7,Marketing,-1149.864146530614
2023-05,7,Net Revenue,12732.33030220466
2023-05,7,Office Supplies,-664.6581372590153
2023-05,7,Rent,-804.7026134124717
2023-05,7,Salaries,-11980.102483930557
2023-05,7,Sales Commissions,-774.1411249379346
2023-05,7,Sales Returns,-178.94107925551344
2023-05,7,Taxes,-1576.7065715582153
2023-05,7,Travel & Entertainment,-685.666904977739
2023-05,8,Depreciation,-308.36235157880355
2023-05,8,Direct Labor,-1107.885756798428
2023-05,8,Direct Materials,-1701.3603644886105
2023-05,8,Gross Revenue,6457.057132161948
2023-05,8,Interest,-68.5072695847859
2023-05,8,Manufacturing Overhead,-228.82389731541977
2023-05,8,Marketing,-741.2767303559854
2023-05,8,Net Revenue,14510.226212999733
2023-05,8,Office Supplies,-311.81737001579233
2023-05,8,R&D,-1934.8361628543892
2023-05,8,Rent,-3149.10804397856
2023-05,8,Salaries,-5991.573204197395
2023-05,8,Sales Commissions,-2058.9195852709536
2023-05,8,Taxes,-2589.701299447531
2023-05,8,Travel & Entertainment,-202.35989451456524
2023-05,8,Utilities,-506.12315491575856
2023-06,1,Direct Labor,-661.0290853755233
2023-06,1,Direct Materials,-2253.320024172073
2023-06,1,Gross Revenue,4239.456015441741
2023-06,1,Interest,-100.42124412401802
2023-06,1,Manufacturing Overhead,-511.33905437680613
2023-06,1,Marketing,-987.5266075207068
2023-06,1,Net Revenue,8785.505620024782
2023-06,1,Office Supplies,-399.5139169356477
2023-06,1,Rent,-3622.5629719833637
2023-06,1,Salaries,-11226.08107743862
2023-06,1,Sales Commissions,-1268.037425240926
2023-06,1,Sales Returns,-229.76713003506552
2023-06,1,Taxes,-998.352835117884
2023-06,1,Travel & Entertainment,-428.432029589656
2023-06,1,Utilities,-695.3286961995187
2023-06,2,Direct Labor,-398.067279542135
2023-06,2,Interest,-104.6601104374279
2023-06,2,Manufacturing Overhead,-310.5973964213785
2023-06,2,Marketing,-1536.7580652069323
