date,day,month,month_name,quarter,year,month_year,day_of_week,day_name,week_of_year,is_weekend,is_month_end,is_quarter_end,is_year_end
2023-03-30,30,3,March,1,2023,2023-03,3,Thursday,13,False,False,False,False
2023-03-31,31,3,March,1,2023,2023-03,4,Friday,13,False,True,True,False
2023-04-01,1,4,April,2,2023,2023-04,5,Saturday,13,True,False,False,False
2023-04-02,2,4,April,2,2023,2023-04,6,Sunday,13,True,False,False,False
2023-04-03,3,4,April,2,2023,2023-04,0,Monday,14,False,False,False,False
2023-04-04,4,4,April,2,2023,2023-04,1,Tuesday,14,False,False,False,False
2023-04-05,5,4,April,2,2023,2023-04,2,Wednesday,14,False,False,False,False
2023-04-06,6,4,April,2,2023,2023-04,3,Thursday,14,False,False,False,False
2023-04-07,7,4,April,2,2023,2023-04,4,Friday,14,False,False,False,False
2023-04-08,8,4,April,2,2023,2023-04,5,Saturday,14,True,False,False,False
2023-04-09,9,4,April,2,2023,2023-04,6,Sunday,14,True,False,False,False
2023-04-10,10,4,April,2,2023,2023-04,0,Monday,15,False,False,False,False
2023-04-11,11,4,April,2,2023,2023-04,1,Tuesday,15,False,False,False,False
2023-04-12,12,4,April,2,2023,2023-04,2,Wednesday,15,False,False,False,False
2023-04-13,13,4,April,2,2023,2023-04,3,Thursday,15,False,False,False,False
2023-04-14,14,4,April,2,2023,2023-04,4,Friday,15,False,False,False,False
2023-04-15,15,4,April,2,2023,2023-04,5,Saturday,15,True,False,False,False
2023-04-16,16,4,April,2,2023,2023-04,6,Sunday,15,True,False,False,False
2023-04-17,17,4,April,2,2023,2023-04,0,Monday,16,False,False,False,False
2023-04-18,18,4,April,2,2023,2023-04,1,Tuesday,16,False,False,False,False
2023-04-19,19,4,April,2,2023,2023-04,2,Wednesday,16,False,False,False,False
2023-04-20,20,4,April,2,2023,2023-04,3,Thursday,16,False,False,False,False
2023-04-21,21,4,April,2,2023,2023-04,4,Friday,16,False,False,False,False
2023-04-22,22,4,April,2,2023,2023-04,5,Saturday,16,True,False,False,False
2023-04-23,23,4,April,2,2023,2023-04,6,Sunday,16,True,False,False,False
2023-04-24,24,4,April,2,2023,2023-04,0,Monday,17,False,False,False,False
2023-04-25,25,4,April,2,2023,2023-04,1,Tuesday,17,False,False,False,False
2023-04-26,26,4,April,2,2023,2023-04,2,Wednesday,17,False,False,False,False
2023-04-27,27,4,April,2,2023,2023-04,3,Thursday,17,False,False,False,False
2023-04-28,28,4,April,2,2023,2023-04,4,Friday,17,False,False,False,False
2023-04-29,29,4,April,2,2023,2023-04,5,Saturday,17,True,False,False,False
2023-04-30,30,4,April,2,2023,2023-04,6,Sunday,17,True,True,False,False
2023-05-01,1,5,May,2,2023,2023-05,0,Monday,18,False,False,False,False
2023-05-02,2,5,May,2,2023,2023-05,1,Tuesday,18,False,False,False,False
2023-05-03,3,5,May,2,2023,2023-05,2,Wednesday,18,False,False,False,False
2023-05-04,4,5,May,2,2023,2023-05,3,Thursday,18,False,False,False,False
2023-05-05,5,5,May,2,2023,2023-05,4,Friday,18,False,False,False,False
2023-05-06,6,5,May,2,2023,2023-05,5,Saturday,18,True,False,False,False
2023-05-07,7,5,May,2,2023,2023-05,6,Sunday,18,True,False,False,False
2023-05-08,8,5,May,2,2023,2023-05,0,Monday,19,False,False,False,False
2023-05-09,9,5,May,2,2023,2023-05,1,Tuesday,19,False,False,False,False
2023-05-10,10,5,May,2,2023,2023-05,2,Wednesday,19,False,False,False,False
2023-05-11,11,5,May,2,2023,2023-05,3,Thursday,19,False,False,False,False
2023-05-12,12,5,May,2,2023,2023-05,4,Friday,19,False,False,False,False
2023-05-13,13,5,May,2,2023,2023-05,5,Saturday,19,True,False,False,False
2023-05-14,14,5,May,2,2023,2023-05,6,Sunday,19,True,False,False,False
2023-05-15,15,5,May,2,2023,2023-05,0,Monday,20,False,False,False,False
2023-05-16,16,5,May,2,2023,2023-05,1,Tuesday,20,False,False,False,False
2023-05-17,17,5,May,2,2023,2023-05,2,Wednesday,20,False,False,False,False
2023-05-18,18,5,May,2,2023,2023-05,3,Thursday,20,False,False,False,False
2023-05-19,19,5,May,2,2023,2023-05,4,Friday,20,False,False,False,False
2023-05-20,20,5,May,2,2023,2023-05,5,Saturday,20,True,False,False,False
2023-05-21,21,5,May,2,2023,2023-05,6,Sunday,20,True,False,False,False
2023-05-22,22,5,May,2,2023,2023-05,0,Monday,21,False,False,False,False
2023-05-23,23,5,May,2,2023,2023-05,1,Tuesday,21,False,False,False,False
2023-05-24,24,5,May,2,2023,2023-05,2,Wednesday,21,False,False,False,False
2023-05-25,25,5,May,2,2023,2023-05,3,Thursday,21,False,False,False,False
2023-05-26,26,5,May,2,2023,2023-05,4,Friday,21,False,False,False,False
2023-05-27,27,5,May,2,2023,2023-05,5,Saturday,21,True,False,False,False
2023-05-28,28,5,May,2,2023,2023-05,6,Sunday,21,True,False,False,False
2023-05-29,29,5,May,2,2023,2023-05,0,Monday,22,False,False,False,False
2023-05-30,30,5,May,2,2023,2023-05,1,Tuesday,22,False,False,False,False
2023-05-31,31,5,May,2,2023,2023-05,2,Wednesday,22,False,True,False,False
2023-06-01,1,6,June,2,2023,2023-06,3,Thursday,22,False,False,False,False
2023-06-02,2,6,June,2,2023,2023-06,4,Friday,22,False,False,False,False
2023-06-03,3,6,June,2,2023,2023-06,5,Saturday,22,True,False,False,False
2023-06-04,4,6,June,2,2023,2023-06,6,Sunday,22,True,False,False,False
2023-06-05,5,6,June,2,2023,2023-06,0,Monday,23,False,False,False,False
2023-06-06,6,6,June,2,2023,2023-06,1,Tuesday,23,False,False,False,False
2023-06-07,7,6,June,2,2023,2023-06,2,Wednesday,23,False,False,False,False
2023-06-08,8,6,June,2,2023,2023-06,3,Thursday,23,False,False,False,False
2023-06-09,9,6,June,2,2023,2023-06,4,Friday,23,False,False,False,False
2023-06-10,10,6,June,2,2023,2023-06,5,Saturday,23,True,False,False,False
2023-06-11,11,6,June,2,2023,2023-06,6,Sunday,23,True,False,False,False
2023-06-12,12,6,June,2,2023,2023-06,0,Monday,24,False,False,False,False
2023-06-13,13,6,June,2,2023,2023-06,1,Tuesday,24,False,False,False,False
2023-06-14,14,6,June,2,2023,2023-06,2,Wednesday,24,False,False,False,False
2023-06-15,15,6,June,2,2023,2023-06,3,Thursday,24,False,False,False,False
2023-06-16,16,6,June,2,2023,2023-06,4,Friday,24,False,False,False,False
2023-06-17,17,6,June,2,2023,2023-06,5,Saturday,24,True,False,False,False
2023-06-18,18,6,June,2,2023,2023-06,6,Sunday,24,True,False,False,False
2023-06-19,19,6,June,2,2023,2023-06,0,Monday,25,False,False,False,False
2023-06-20,20,6,June,2,2023,2023-06,1,Tuesday,25,False,False,False,False
2023-06-21,21,6,June,2,2023,2023-06,2,Wednesday,25,False,False,False,False
2023-06-22,22,6,June,2,2023,2023-06,3,Thursday,25,False,False,False,False
2023-06-23,23,6,June,2,2023,2023-06,4,Friday,25,False,False,False,False
2023-06-24,24,6,June,2,2023,2023-06,5,Saturday,25,True,False,False,False
2023-06-25,25,6,June,2,2023,2023-06,6,Sunday,25,True,False,False,False
2023-06-26,26,6,June,2,2023,2023-06,0,Monday,26,False,False,False,False
2023-06-27,27,6,June,2,2023,2023-06,1,Tuesday,26,False,False,False,False
2023-06-28,28,6,June,2,2023,2023-06,2,Wednesday,26,False,False,False,False
2023-06-29,29,6,June,2,2023,2023-06,3,Thursday,26,False,False,False,False
2023-06-30,30,6,June,2,2023,2023-06,4,Friday,26,False,True,True,False
2023-07-01,1,7,July,3,2023,2023-07,5,Saturday,26,True,False,False,False
2023-07-02,2,7,July,3,2023,2023-07,6,Sunday,26,True,False,False,False
2023-07-03,3,7,July,3,2023,2023-07,0,Monday,27,False,False,False,False
2023-07-04,4,7,July,3,2023,2023-07,1,Tuesday,27,False,False,False,False
2023-07-05,5,7,July,3,2023,2023-07,2,Wednesday,27,False,False,False,False
2023-07-06,6,7,July,3,2023,2023-07,3,Thursday,27,False,False,False,False
2023-07-07,7,7,July,3,2023,2023-07,4,Friday,27,False,False,False,False
2023-07-08,8,7,July,3,2023,2023-07,5,Saturday,27,True,False,False,False
2023-07-09,9,7,July,3,2023,2023-07,6,Sunday,27,True,False,False,False
2023-07-10,10,7,July,3,2023,2023-07,0,Monday,28,False,False,False,False
2023-07-11,11,7,July,3,2023,2023-07,1,Tuesday,28,False,False,False,False
2023-07-12,12,7,July,3,2023,2023-07,2,Wednesday,28,False,False,False,False
2023-07-13,13,7,July,3,2023,2023-07,3,Thursday,28,False,False,False,False
2023-07-14,14,7,July,3,2023,2023-07,4,Friday,28,False,False,False,False
2023-07-15,15,7,July,3,2023,2023-07,5,Saturday,28,True,False,False,False
2023-07-16,16,7,July,3,2023,2023-07,6,Sunday,28,True,False,False,False
2023-07-17,17,7,July,3,2023,2023-07,0,Monday,29,False,False,False,False
2023-07-18,18,7,July,3,2023,2023-07,1,Tuesday,29,False,False,False,False
2023-07-19,19,7,July,3,2023,2023-07,2,Wednesday,29,False,False,False,False
2023-07-20,20,7,July,3,2023,2023-07,3,Thursday,29,False,False,False,False
2023-07-21,21,7,July,3,2023,2023-07,4,Friday,29,False,False,False,False
2023-07-22,22,7,July,3,2023,2023-07,5,Saturday,29,True,False,False,False
2023-07-23,23,7,July,3,2023,2023-07,6,Sunday,29,True,False,False,False
2023-07-24,24,7,July,3,2023,2023-07,0,Monday,30,False,False,False,False
2023-07-25,25,7,July,3,2023,2023-07,1,Tuesday,30,False,False,False,False
2023-07-26,26,7,July,3,2023,2023-07,2,Wednesday,30,False,False,False,False
2023-07-27,27,7,July,3,2023,2023-07,3,Thursday,30,False,False,False,False
2023-07-28,28,7,July,3,2023,2023-07,4,Friday,30,False,False,False,False
2023-07-29,29,7,July,3,2023,2023-07,5,Saturday,30,True,False,False,False
2023-07-30,30,7,July,3,2023,2023-07,6,Sunday,30,True,False,False,False
2023-07-31,31,7,July,3,2023,2023-07,0,Monday,31,False,True,False,False
2023-08-01,1,8,August,3,2023,2023-08,1,Tuesday,31,False,False,False,False
2023-08-02,2,8,August,3,2023,2023-08,2,Wednesday,31,False,False,False,False
2023-08-03,3,8,August,3,2023,2023-08,3,Thursday,31,False,False,False,False
2023-08-04,4,8,August,3,2023,2023-08,4,Friday,31,False,False,False,False
2023-08-05,5,8,August,3,2023,2023-08,5,Saturday,31,True,False,False,False
2023-08-06,6,8,August,3,2023,2023-08,6,Sunday,31,True,False,False,False
2023-08-07,7,8,August,3,2023,2023-08,0,Monday,32,False,False,False,False
2023-08-08,8,8,August,3,2023,2023-08,1,Tuesday,32,False,False,False,False
2023-08-09,9,8,August,3,2023,2023-08,2,Wednesday,32,False,False,False,False
2023-08-10,10,8,August,3,2023,2023-08,3,Thursday,32,False,False,False,False
2023-08-11,11,8,August,3,2023,2023-08,4,Friday,32,False,False,False,False
2023-08-12,12,8,August,3,2023,2023-08,5,Saturday,32,True,False,False,False
2023-08-13,13,8,August,3,2023,2023-08,6,Sunday,32,True,False,False,False
2023-08-14,14,8,August,3,2023,2023-08,0,Monday,33,False,False,False,False
2023-08-15,15,8,August,3,2023,2023-08,1,Tuesday,33,False,False,False,False
2023-08-16,16,8,August,3,2023,2023-08,2,Wednesday,33,False,False,False,False
2023-08-17,17,8,August,3,2023,2023-08,3,Thursday,33,False,False,False,False
2023-08-18,18,8,August,3,2023,2023-08,4,Friday,33,False,False,False,False
2023-08-19,19,8,August,3,2023,2023-08,5,Saturday,33,True,False,False,False
2023-08-20,20,8,August,3,2023,2023-08,6,Sunday,33,True,False,False,False
2023-08-21,21,8,August,3,2023,2023-08,0,Monday,34,False,False,False,False
2023-08-22,22,8,August,3,2023,2023-08,1,Tuesday,34,False,False,False,False
2023-08-23,23,8,August,3,2023,2023-08,2,Wednesday,34,False,False,False,False
2023-08-24,24,8,August,3,2023,2023-08,3,Thursday,34,False,False,False,False
2023-08-25,25,8,August,3,2023,2023-08,4,Friday,34,False,False,False,False
2023-08-26,26,8,August,3,2023,2023-08,5,Saturday,34,True,False,False,False
2023-08-27,27,8,August,3,2023,2023-08,6,Sunday,34,True,False,False,False
2023-08-28,28,8,August,3,2023,2023-08,0,Monday,35,False,False,False,False
2023-08-29,29,8,August,3,2023,2023-08,1,Tuesday,35,False,False,False,False
2023-08-30,30,8,August,3,2023,2023-08,2,Wednesday,35,False,False,False,False
2023-08-31,31,8,August,3,2023,2023-08,3,Thursday,35,False,True,False,False
2023-09-01,1,9,September,3,2023,2023-09,4,Friday,35,False,False,False,False
2023-09-02,2,9,September,3,2023,2023-09,5,Saturday,35,True,False,False,False
2023-09-03,3,9,September,3,2023,2023-09,6,Sunday,35,True,False,False,False
2023-09-04,4,9,September,3,2023,2023-09,0,Monday,36,False,False,False,False
2023-09-05,5,9,September,3,2023,2023-09,1,Tuesday,36,False,False,False,False
2023-09-06,6,9,September,3,2023,2023-09,2,Wednesday,36,False,False,False,False
2023-09-07,7,9,September,3,2023,2023-09,3,Thursday,36,False,False,False,False
2023-09-08,8,9,September,3,2023,2023-09,4,Friday,36,False,False,False,False
2023-09-09,9,9,September,3,2023,2023-09,5,Saturday,36,True,False,False,False
2023-09-10,10,9,September,3,2023,2023-09,6,Sunday,36,True,False,False,False
2023-09-11,11,9,September,3,2023,2023-09,0,Monday,37,False,False,False,False
2023-09-12,12,9,September,3,2023,2023-09,1,Tuesday,37,False,False,False,False
2023-09-13,13,9,September,3,2023,2023-09,2,Wednesday,37,False,False,False,False
2023-09-14,14,9,September,3,2023,2023-09,3,Thursday,37,False,False,False,False
2023-09-15,15,9,September,3,2023,2023-09,4,Friday,37,False,False,False,False
2023-09-16,16,9,September,3,2023,2023-09,5,Saturday,37,True,False,False,False
2023-09-17,17,9,September,3,2023,2023-09,6,Sunday,37,True,False,False,False
2023-09-18,18,9,September,3,2023,2023-09,0,Monday,38,False,False,False,False
2023-09-19,19,9,September,3,2023,2023-09,1,Tuesday,38,False,False,False,False
2023-09-20,20,9,September,3,2023,2023-09,2,Wednesday,38,False,False,False,False
2023-09-21,21,9,September,3,2023,2023-09,3,Thursday,38,False,False,False,False
2023-09-22,22,9,September,3,2023,2023-09,4,Friday,38,False,False,False,False
2023-09-23,23,9,September,3,2023,2023-09,5,Saturday,38,True,False,False,False
2023-09-24,24,9,September,3,2023,2023-09,6,Sunday,38,True,False,False,False
2023-09-25,25,9,September,3,2023,2023-09,0,Monday,39,False,False,False,False
2023-09-26,26,9,September,3,2023,2023-09,1,Tuesday,39,False,False,False,False
2023-09-27,27,9,September,3,2023,2023-09,2,Wednesday,39,False,False,False,False
2023-09-28,28,9,September,3,2023,2023-09,3,Thursday,39,False,False,False,False
2023-09-29,29,9,September,3,2023,2023-09,4,Friday,39,False,False,False,False
2023-09-30,30,9,September,3,2023,2023-09,5,Saturday,39,True,True,True,False
2023-10-01,1,10,October,4,2023,2023-10,6,Sunday,39,True,False,False,False
2023-10-02,2,10,October,4,2023,2023-10,0,Monday,40,False,False,False,False
2023-10-03,3,10,October,4,2023,2023-10,1,Tuesday,40,False,False,False,False
2023-10-04,4,10,October,4,2023,2023-10,2,Wednesday,40,False,False,False,False
2023-10-05,5,10,October,4,2023,2023-10,3,Thursday,40,False,False,False,False
2023-10-06,6,10,October,4,2023,2023-10,4,Friday,40,False,False,False,False
2023-10-07,7,10,October,4,2023,2023-10,5,Saturday,40,True,False,False,False
2023-10-08,8,10,October,4,2023,2023-10,6,Sunday,40,True,False,False,False
2023-10-09,9,10,October,4,2023,2023-10,0,Monday,41,False,False,False,False
2023-10-10,10,10,October,4,2023,2023-10,1,Tuesday,41,False,False,False,False
2023-10-11,11,10,October,4,2023,2023-10,2,Wednesday,41,False,False,False,False
2023-10-12,12,10,October,4,2023,2023-10,3,Thursday,41,False,False,False,False
2023-10-13,13,10,October,4,2023,2023-10,4,Friday,41,False,False,False,False
2023-10-14,14,10,October,4,2023,2023-10,5,Saturday,41,True,False,False,False
2023-10-15,15,10,October,4,2023,2023-10,6,Sunday,41,True,False,False,False
2023-10-16,16,10,October,4,2023,2023-10,0,Monday,42,False,False,False,False
2023-10-17,17,10,October,4,2023,2023-10,1,Tuesday,42,False,False,False,False
2023-10-18,18,10,October,4,2023,2023-10,2,Wednesday,42,False,False,False,False
2023-10-19,19,10,October,4,2023,2023-10,3,Thursday,42,False,False,False,False
2023-10-20,20,10,October,4,2023,2023-10,4,Friday,42,False,False,False,False
2023-10-21,21,10,October,4,2023,2023-10,5,Saturday,42,True,False,False,False
2023-10-22,22,10,October,4,2023,2023-10,6,Sunday,42,True,False,False,False
2023-10-23,23,10,October,4,2023,2023-10,0,Monday,43,False,False,False,False
2023-10-24,24,10,October,4,2023,2023-10,1,Tuesday,43,False,False,False,False
2023-10-25,25,10,October,4,2023,2023-10,2,Wednesday,43,False,False,False,False
2023-10-26,26,10,October,4,2023,2023-10,3,Thursday,43,False,False,False,False
2023-10-27,27,10,October,4,2023,2023-10,4,Friday,43,False,False,False,False
2023-10-28,28,10,October,4,2023,2023-10,5,Saturday,43,True,False,False,False
2023-10-29,29,10,October,4,2023,2023-10,6,Sunday,43,True,False,False,False
2023-10-30,30,10,October,4,2023,2023-10,0,Monday,44,False,False,False,False
2023-10-31,31,10,October,4,2023,2023-10,1,Tuesday,44,False,True,False,False
2023-11-01,1,11,November,4,2023,2023-11,2,Wednesday,44,False,False,False,False
2023-11-02,2,11,November,4,2023,2023-11,3,Thursday,44,False,False,False,False
2023-11-03,3,11,November,4,2023,2023-11,4,Friday,44,False,False,False,False
2023-11-04,4,11,November,4,2023,2023-11,5,Saturday,44,True,False,False,False
2023-11-05,5,11,November,4,2023,2023-11,6,Sunday,44,True,False,False,False
2023-11-06,6,11,November,4,2023,2023-11,0,Monday,45,False,False,False,False
2023-11-07,7,11,November,4,2023,2023-11,1,Tuesday,45,False,False,False,False
2023-11-08,8,11,November,4,2023,2023-11,2,Wednesday,45,False,False,False,False
2023-11-09,9,11,November,4,2023,2023-11,3,Thursday,45,False,False,False,False
2023-11-10,10,11,November,4,2023,2023-11,4,Friday,45,False,False,False,False
2023-11-11,11,11,November,4,2023,2023-11,5,Saturday,45,True,False,False,False
2023-11-12,12,11,November,4,2023,2023-11,6,Sunday,45,True,False,False,False
2023-11-13,13,11,November,4,2023,2023-11,0,Monday,46,False,False,False,False
2023-11-14,14,11,November,4,2023,2023-11,1,Tuesday,46,False,False,False,False
2023-11-15,15,11,November,4,2023,2023-11,2,Wednesday,46,False,False,False,False
2023-11-16,16,11,November,4,2023,2023-11,3,Thursday,46,False,False,False,False
2023-11-17,17,11,November,4,2023,2023-11,4,Friday,46,False,False,False,False
2023-11-18,18,11,November,4,2023,2023-11,5,Saturday,46,True,False,False,False
2023-11-19,19,11,November,4,2023,2023-11,6,Sunday,46,True,False,False,False
2023-11-20,20,11,November,4,2023,2023-11,0,Monday,47,False,False,False,False
2023-11-21,21,11,November,4,2023,2023-11,1,Tuesday,47,False,False,False,False
2023-11-22,22,11,November,4,2023,2023-11,2,Wednesday,47,False,False,False,False
2023-11-23,23,11,November,4,2023,2023-11,3,Thursday,47,False,False,False,False
2023-11-24,24,11,November,4,2023,2023-11,4,Friday,47,False,False,False,False
2023-11-25,25,11,November,4,2023,2023-11,5,Saturday,47,True,False,False,False
2023-11-26,26,11,November,4,2023,2023-11,6,Sunday,47,True,False,False,False
2023-11-27,27,11,November,4,2023,2023-11,0,Monday,48,False,False,False,False
2023-11-28,28,11,November,4,2023,2023-11,1,Tuesday,48,False,False,False,False
2023-11-29,29,11,November,4,2023,2023-11,2,Wednesday,48,False,False,False,False
2023-11-30,30,11,November,4,2023,2023-11,3,Thursday,48,False,True,False,False
2023-12-01,1,12,December,4,2023,2023-12,4,Friday,48,False,False,False,False
2023-12-02,2,12,December,4,2023,2023-12,5,Saturday,48,True,False,False,False
2023-12-03,3,12,December,4,2023,2023-12,6,Sunday,48,True,False,False,False
2023-12-04,4,12,December,4,2023,2023-12,0,Monday,49,False,False,False,False
2023-12-05,5,12,December,4,2023,2023-12,1,Tuesday,49,False,False,False,False
2023-12-06,6,12,December,4,2023,2023-12,2,Wednesday,49,False,False,False,False
2023-12-07,7,12,December,4,2023,2023-12,3,Thursday,49,False,False,False,False
2023-12-08,8,12,December,4,2023,2023-12,4,Friday,49,False,False,False,False
2023-12-09,9,12,December,4,2023,2023-12,5,Saturday,49,True,False,False,False
2023-12-10,10,12,December,4,2023,2023-12,6,Sunday,49,True,False,False,False
2023-12-11,11,12,December,4,2023,2023-12,0,Monday,50,False,False,False,False
2023-12-12,12,12,December,4,2023,2023-12,1,Tuesday,50,False,False,False,False
